,StationName,Latitude,Longitude,Numbering
0,34 ST-HERALD SQ,40.7488979,-73.98878859999999,1
1,TIMES SQ-42 ST,40.7545563,-73.9866737,1
2,34 ST-PENN STA,40.751056,-73.9903102,1
3,59 ST COLUMBUS,40.7684839,-73.981807,1
4,86 ST,40.7795016,-73.9555724,1
5,GRD CNTRL-42 ST,40.7521647,-73.97715339999999,1
6,59 ST,40.6415685,-74.0176783,1
7,FLUSHING-MAIN,40.7595582,-73.82992209999999,1
8,ATL AV-BARCLAY,40.6837598,-73.97875739999999,1
9,23 ST,40.7413626,-73.9891335,1
10,42 ST-PORT AUTH,40.7578346,-73.99146259999999,1
11,14 ST,40.73747540000001,-73.9970975,1
12,JKSN HT-ROOSVLT,40.746739,-73.8909986,1
13,BEDFORD AV,40.717354,-73.956972,1
14,47-50 STS ROCK,40.75885,-73.98118610000002,1
15,34 ST-HUDSON YD,40.7549713,-74.0010084,1
16,CHAMBERS ST,40.7155134,-74.0092227,1
17,125 ST,40.8043863,-73.9374292,1
18,57 ST-7 AV,40.765564,-73.9803309,1
19,GRAND ST,40.7182003,-73.9935756,1
20,145 ST,40.8240532,-73.9447623,1
21,42 ST-BRYANT PK,40.7548368,-73.9841215,1
22,2 AV,40.7234127,-73.9902885,1
23,50 ST,40.7620363,-73.98632909999999,1
24,CHURCH AV,40.6495233,-73.9632839,1
25,PRINCE ST,40.7242353,-73.997806,1
26,SPRING ST,40.7257799,-74.00395209999999,1
27,LEXINGTON AV/63,40.764629,-73.96611299999999,1
28,NOSTRAND AV,40.6697362,-73.95050890000002,1
29,JAY ST-METROTEC,40.6922507,-73.9872792,1
30,1 AV,40.7312776,-73.9823439,1
31,STEINWAY ST,40.7566917,-73.9206409,1
32,JUNCTION BLVD,40.749203,-73.8693365,1
33,DEKALB AV,40.68982020000001,-73.9811611,1
34,BOROUGH HALL,40.6931492,-73.9900883,1
35,CROWN HTS-UTICA,40.6689469,-73.93183379999999,1
36,8 ST-NYU,40.7306065,-73.99244159999999,1
37,CANAL ST,40.7227139,-74.006306,1
38,QUEENSBORO PLZ,40.7505127,-73.9398439,1
39,MYRTLE-WYCKOFF,40.699686,-73.9117713,1
40,51 ST,40.757135,-73.9719119,1
41,COURT SQ,40.7467885,-73.944548,1
42,JAMAICA CENTER,40.7021447,-73.8008771,1
43,49 ST,40.7598372,-73.9841825,1
44,BOWLING GREEN,40.7048108,-74.0144596,1
45,BLEECKER ST,40.7259346,-73.9946724,1
46,VERNON-JACKSON,40.7426713,-73.9537248,1
47,28 ST,40.7470686,-73.99350919999999,1
48,SUTPHIN-ARCHER,40.7005728,-73.8077071,1
49,FORDHAM RD,40.8614886,-73.8905408,1
50,HIGH ST,40.6993673,-73.99126559999999,1
51,BROOKLYN BRIDGE,40.6993673,-73.99126559999999,1
52,103 ST-CORONA,40.7498268,-73.862746,1
53,GRAND-NEWTOWN,40.736835,-73.8775884,1
54,181 ST,40.84913,-73.93372889999999,1
55,167 ST,40.835598,-73.9213791,1
56,82 ST-JACKSON H,40.7477145,-73.8839373,1
57,KINGS HWY,40.60867440000001,-73.9578059,1
58,3 AV-149 ST,40.816129,-73.917811,1
59,EAST BROADWAY,40.7144029,-73.98991880000001,1
60,72 ST,40.778453,-73.98196999999999,1
61,WALL ST,40.7063965,-74.0094441,1
62,21 ST-QNSBRIDGE,40.75417770000001,-73.94247419999999,1
63,HOYT-SCHER,40.6888288,-73.98531249999999,1
64,FRANKLIN AV,40.7190056,-74.0066801,1
65,168 ST,40.841041,-73.939971,1
66,NEVINS ST,40.6882963,-73.9805206,1
67,5 AVE,40.7602163,-73.975543,1
68,PROSPECT PARK,40.6608788,-73.9621109,1
69,CENTRAL PK N110,40.7987376,-73.9522934,1
70,LEXINGTON AV/53,40.7576981,-73.9690742,1
71,63 DR-REGO PARK,40.7301359,-73.8623673,1
72,3 AV,40.7331353,-73.98675829999999,1
73,175 ST,40.8479166,-73.9394823,1
74,53 ST,40.7602163,-73.975543,1
75,110 ST,40.7987376,-73.9522934,1
76,BEDFORD-NOSTRAN,40.6898534,-73.9516398,1
77,GRAHAM AV,40.7145263,-73.94438180000002,1
78,46 ST BLISS ST,40.7430691,-73.91824030000001,1
79,CHRISTOPHER ST,40.73357840000001,-74.00287279999999,1
80,191 ST,40.855738,-73.9306512,1
81,ROOSEVELT ISLND,40.7591362,-73.9533215,1
82,BROADWAY JCT,40.6789137,-73.9039,1
83,HOYT ST,40.6888288,-73.98531249999999,1
84,135 ST,40.817894,-73.947647,1
85,ELMHURST AV,40.74244789999999,-73.8819844,1
86,RECTOR ST,40.7078954,-74.01363649999999,1
87,4AV-9 ST,40.6701803,-73.98929150000001,1
88,96 ST,40.7858701,-73.95093469999999,1
89,JAMAICA 179 ST,40.7126442,-73.7838184,1
90,BRIGHTON BEACH,40.5776648,-73.9612769,1
91,CARROLL ST,40.6793313,-73.9954833,1
92,149/GRAND CONC,40.8183248,-73.9274121,1
93,UNION ST,40.6771729,-73.9832467,1
94,111 ST,40.75172999999999,-73.855334,1
95,MONTROSE AV,40.7077716,-73.9398633,1
96,MORGAN AV,40.70607589999999,-73.93370999999999,1
97,90 ST-ELMHURST,40.7484367,-73.8765289,1
98,6 AV,40.7373653,-73.99684529999999,1
99,BOWERY,40.7201668,-73.99353470000001,1
100,BURNSIDE AV,40.85345299999999,-73.90768400000002,1
101,45 ST,40.6493588,-74.00959069999999,1
102,170 ST,40.8400504,-73.9133477,1
103,169 ST,40.7104152,-73.79374600000001,1
104,74 ST-BROADWAY,40.7469419,-73.8914602,1
105,40 ST LOWERY ST,40.7438729,-73.92423409999999,1
106,CASTLE HILL AV,40.83429599999999,-73.85168399999999,1
107,HALSEY ST,40.69577750000001,-73.9044092,1
108,CLARK ST,40.6974878,-73.9931409,1
109,SUTTER AV-RUTLD,40.6649921,-73.92290849999999,1
110,EASTN PKWY-MUSM,40.6719938,-73.9642065,1
111,BAY RIDGE AV,40.634968,-74.023376,1
112,OZONE PK LEFFRT,40.6859567,-73.8257601,1
113,JEFFERSON ST,40.7065868,-73.922872,1
114,MORISN AV/SNDVW,40.8294898,-73.8746754,1
115,207 ST,40.8676635,-73.9212009,1
116,EUCLID AV,40.6754013,-73.8719033,1
117,GRAND ARMY PLAZ,40.6752403,-73.97104159999999,1
118,PARSONS BLVD,40.707714,-73.8028238,1
119,231 ST,40.8789923,-73.904939,1
120,SMITH-9 ST,40.6746048,-73.99703970000002,1
121,4 AV-9 ST,40.6701803,-73.98929150000001,1
122,67 AV,40.7263823,-73.8515929,1
123,ROCKAWAY AV,40.6625632,-73.9089054,1
124,PELHAM BAY PARK,40.8529308,-73.8270555,1
125,CLASSON AV,40.688873,-73.96007,1
126,NEW LOTS AV,40.6663015,-73.88371579999999,1
127,GRANT AV,40.6768777,-73.86534619999999,1
128,STERLING ST,40.6632908,-73.951044,1
129,PROSPECT AV,40.66541369999999,-73.99292590000002,1
130,18 ST,40.74122390000001,-73.9980319,1
131,SARATOGA AV,40.669094,-73.91828199999999,1
132,WILSON AV,40.6887823,-73.9046724,1
133,V.CORTLANDT PK,40.8964243,-73.8852842,1
134,WESTCHESTER SQ,40.8401247,-73.8428258,1
135,FAR ROCKAWAY,40.6077527,-73.7517548,1
136,WOODLAWN,40.88603699999999,-73.878751,1
137,CORTELYOU RD,40.6412697,-73.9639694,1
138,BERGEN ST,40.6860832,-73.9909074,1
139,BEDFORD PK BLVD,40.8732636,-73.8871965,1
140,HARLEM 148 ST,40.8240504,-73.9369385,1
141,BAY RIDGE-95 ST,40.6167174,-74.0308527,1
142,CLINTON-WASH AV,40.6834989,-73.9668944,1
143,KINGSTON-THROOP,40.6798265,-73.9411294,1
144,ST LAWRENCE AV,40.8315326,-73.8672593,1
145,176 ST,40.8484597,-73.9117411,1
146,FULTON ST,40.709893,-74.0079818,1
147,AVENUE J,40.6252684,-73.9607296,1
148,183 ST,40.8583924,-73.90397810000002,1
149,18 AV,40.6201053,-73.9894661,1
150,KINGSTON AV,40.6692845,-73.9422927,1
151,BEVERLEY ROAD,40.6442291,-73.96449799999999,1
152,71 ST,40.6196212,-73.99877699999999,1
153,ST. GEORGE,40.64400390000001,-74.0733248,1
154,MT EDEN AV,40.8445285,-73.9146157,1
155,MARBLE HILL-225,40.8743487,-73.91043309999999,1
156,174-175 STS,40.846524,-73.9097269,1
157,33 ST-RAWSON ST,40.744587,-73.93099699999999,1
158,CITY HALL,40.7135245,-74.00671009999999,1
159,182-183 STS,40.8560934,-73.90102949999999,1
160,PRESIDENT ST,40.6681585,-73.9506586,1
161,77 ST,40.7736346,-73.95982939999999,1
162,GUN HILL RD,40.8777392,-73.86630459999999,1
163,79 ST,40.783934,-73.979917,1
164,190 ST,40.8588877,-73.9342216,1
165,20 AV,40.617271,-73.9847709,1
166,25 ST,40.6604039,-73.9981055,1
167,BRIARWOOD,40.7093666,-73.81988539999999,1
168,AQUEDUCT RACETR,40.6721498,-73.8356843,1
169,PENNSYLVANIA AV,40.6646911,-73.8941747,1
170,AVENUE M,40.6180725,-73.9593745,1
171,OCEAN PKWY,40.5762935,-73.9684997,1
172,AVENUE H,40.6297445,-73.9616617,1
173,JUNIUS ST,40.67504,-73.904496,1
174,NECK RD,40.5951531,-73.9550266,1
175,VAN SICLEN AV,40.67274219999999,-73.8903155,1
176,138/GRAND CONC,40.8132249,-73.9298111,1
177,BEVERLY RD,40.8322067,-73.3848891,1
178,75 AV,40.718331,-73.837324,1
179,BUSHWICK AV,40.7002958,-73.94116439999999,1
180,BEACH 67 ST,40.5909714,-73.7963169,1
181,WHITLOCK AV,40.8267442,-73.8863456,1
182,W 8 ST-AQUARIUM,40.57612779999999,-73.97596539999999,1
183,PARK PLACE,40.7132422,-74.0092559,1
184,215 ST,40.8695946,-73.9153019,1
185,HOWARD BCH JFK,40.660476,-73.83030099999999,1
186,BEACH 25 ST,40.59946790000001,-73.7618536,1
187,BEACH 60 ST,40.59244,-73.78928300000001,1
188,ATLANTIC AV,40.675554,-73.9030576,1
189,BEACH 36 ST,40.595532,-73.7681238,1
190,55 ST,40.6315514,-73.9956328,1
191,104 ST,40.6951456,-73.8443046,1
192,BEACH 44 ST,40.5929209,-73.77594839999999,1
193,WORLD TRADE CTR,40.7126452,-74.00989799999999,1
194,NASSAU AV,40.7238944,-73.9506777,1
195,39 AV,40.7526897,-73.9328056,1
196,36 AV,40.7668516,-73.921313,1
197,BROADWAY,40.7623472,-73.9256595,1
198,COURT SQ-23 ST,40.7480508,-73.94704779999999,1
199,ASTORIA DITMARS,40.7750119,-73.91211,1
200,CYPRESS HILLS,40.68994860000001,-73.87257310000001,1
201,30 AV,40.7668516,-73.921313,1
202,121 ST,40.7006094,-73.8281286,1
203,75 ST-ELDERTS,40.69143649999999,-73.8665512,1
204,AVENUE X,40.5896822,-73.9742509,1
205,AVENUE P,40.6087814,-73.9729084,1
206,85 ST-FOREST PK,40.6924861,-73.8590708,1
207,WOODHAVEN BLVD,40.6939097,-73.85139269999999,1
208,METROPOLITAN AV,40.7121327,-73.889276,1
209,GREENPOINT AV,40.7301618,-73.9540458,1
